centroide,cantidad_ciclistas,X,Y,RECORRIDO,CENTROIDE,CRUCE,ÃREA,geometry
750,4.1000000000000005,-58.4474634082973,-34.5857654976915,R030,750.0,"ARENAL, CONCEPCION@ROSETI",Barrios,POINT (-58.4474634082973 -34.5857654976915)
751,2.2,-58.4672896522221,-34.5869491574677,R031,751.0,ESTOMBA@GIRARDOT,Barrios,POINT (-58.4672896522221 -34.5869491574677)
752,2.9000000000000004,-58.4671804016827,-34.5886002839352,R031,752.0,HEREDIA@MONTENEGRO,Barrios,POINT (-58.4671804016827 -34.5886002839352)
753,1.9000000000000001,-58.4668953651626,-34.5916508391172,R031,753.0,ELCANO@BALBOA,Barrios,POINT (-58.4668953651626 -34.5916508391172)
754,1.8,-58.467082888195,-34.5932893480967,R031,754.0,PAZ SOLDAN@AVALOS,Barrios,POINT (-58.467082888195 -34.5932893480967)
755,0.9,-58.4671658425584,-34.595022511619,R031,755.0,"YERUA@BIELSA, RAFAEL, Dr.",Barrios,POINT (-58.4671658425584 -34.595022511619)
756,2.3000000000000003,-58.4910404394583,-34.6101558620605,R032,756.0,LASCANO@LLAVALLOL,Barrios,POINT (-58.4910404394583 -34.6101558620605)
757,1.9000000000000001,-58.4906514161306,-34.6091029547144,R032,757.0,GENOVA@CAMPANA,Barrios,POINT (-58.4906514161306 -34.6091029547144)
758,2.6,-58.4898860247348,-34.6078394900008,R032,758.0,ARREGUI@CUENCA,Barrios,POINT (-58.4898860247348 -34.6078394900008)
759,4.2,-58.4894268174166,-34.6061753044781,R032,759.0,SANTO TOME@HELGUERA,Barrios,POINT (-58.4894268174166 -34.6061753044781)
760,4.800000000000001,-58.4892239555478,-34.6041064681091,R032,760.0,"SASTRE, MARCOS@ARGERICH",Barrios,POINT (-58.4892239555478 -34.6041064681091)
761,5.9,-58.4902123221497,-34.6217413942908,R033,761.0,"DIAZ, CESAR, GRAL.@CHIVILCOY",Barrios,POINT (-58.4902123221497 -34.6217413942908)
762,2.6,-58.4904054308712,-34.620149957625,R033,762.0,"MAGARIÃƒÂOS CERVANTES, A.@BAHIA BLANCA",Barrios,POINT (-58.4904054308712 -34.620149957625)
763,2.7,-58.4904887746409,-34.6184472730256,R033,763.0,"CAMARONES@GONZALEZ, JOAQUIN V.",Barrios,POINT (-58.4904887746409 -34.6184472730256)
764,2.5,-58.4908283406529,-34.6169631992223,R033,764.0,SAN BLAS@SAN NICOLAS,Barrios,POINT (-58.4908283406529 -34.6169631992223)
765,8.0,-58.4911577551178,-34.61547067449,R033,765.0,"GARCIA, JUAN AGUSTIN@LAMARCA, EMILIO",Barrios,POINT (-58.4911577551178 -34.61547067449)
766,1.5,-58.4998420789818,-34.6234528454815,R034,766.0,SAN BLAS@BERNALDES,Barrios,POINT (-58.4998420789818 -34.6234528454815)
767,1.5,-58.5015809361126,-34.623084474185,R034,767.0,"GARCIA, JUAN AGUSTIN@PAZ, MARCOS",Barrios,POINT (-58.5015809361126 -34.623084474185)
768,4.6000000000000005,-58.5031655352336,-34.6226205625135,R034,768.0,"GONZALEZ, ELPIDIO@JUAREZ, BENITO",Barrios,POINT (-58.5031655352336 -34.6226205625135)
769,0.7000000000000001,-58.5050518146275,-34.6218936998726,R034,769.0,MIRANDA@ALLENDE,Barrios,POINT (-58.5050518146275 -34.6218936998726)
770,2.3000000000000003,-58.5068398466869,-34.6215074185779,R034,770.0,ALCARAZ@BERMUDEZ,Barrios,POINT (-58.5068398466869 -34.6215074185779)
771,0.4,-58.5050154460447,-34.6323140650857,R035,771.0,MURATURE@MOLIERE,Barrios,POINT (-58.5050154460447 -34.6323140650857)
772,2.5,-58.507103723059,-34.6323016319587,R035,772.0,"MAGARIÃƒÂOS CERVANTES, A.@HUGO, VICTOR",Barrios,POINT (-58.507103723059 -34.6323016319587)
773,1.3,-58.5091692535212,-34.632448261919,R035,773.0,CAMARONES@CORTINA,Barrios,POINT (-58.5091692535212 -34.632448261919)
774,3.7,-58.5110429828761,-34.6325601429753,R035,774.0,SAN BLAS@IRIGOYEN,Barrios,POINT (-58.5110429828761 -34.6325601429753)
775,2.5,-58.5126662843206,-34.6323446222497,R035,775.0,"GARCIA, JUAN AGUSTIN@RUIZ DE LOS LLANOS",Barrios,POINT (-58.5126662843206 -34.6323446222497)
776,5.4,-58.5226519595371,-34.6380235467865,R036,776.0,"VIEDMA, FRANCISCO de@BARRAGAN",Barrios,POINT (-58.5226519595371 -34.6380235467865)
777,3.4000000000000004,-58.5235976299263,-34.6401794842928,R036,777.0,"COSQUIN@FALCON, RAMON L.,CNEL.",Barrios,POINT (-58.5235976299263 -34.6401794842928)
778,2.8000000000000003,-58.5248795262453,-34.641559374337,R036,778.0,IBARROLA@CARHUE,Barrios,POINT (-58.5248795262453 -34.641559374337)
779,2.8000000000000003,-58.5261829658236,-34.6428636727673,R036,779.0,"BOSCH, VENTURA@MONTIEL",Barrios,POINT (-58.5261829658236 -34.6428636727673)
780,1.3,-58.5273728390159,-34.6438144854794,R036,780.0,"PALMAR@SUAREZ, JOSE LEON",Barrios,POINT (-58.5273728390159 -34.6438144854794)
781,1.6,-58.5139435401382,-34.6529893139635,R037,781.0,"SCHMIDL, ULRICO@GORDILLO, TIMOTEO",Barrios,POINT (-58.5139435401382 -34.6529893139635)
782,0.7000000000000001,-58.5140219844015,-34.6507035089603,R037,782.0,ERCILLA@PILAR,Barrios,POINT (-58.5140219844015 -34.6507035089603)
783,1.9000000000000001,-58.513851529602,-34.6485981655127,R037,783.0,"ACASSUSO@LEGUIZAMON, MARTINIANO",Barrios,POINT (-58.513851529602 -34.6485981655127)
784,2.9000000000000004,-58.5142627517946,-34.6470199866523,R037,784.0,PATRON@MURGUIONDO,Barrios,POINT (-58.5142627517946 -34.6470199866523)
785,2.8000000000000003,-58.5141337314589,-34.6449460340402,R037,785.0,GARCIA DE COSSIO@OLIDEN,Barrios,POINT (-58.5141337314589 -34.6449460340402)
786,1.1,-58.5101191642138,-34.6595395016822,R038,786.0,BRAGADO@ANDALGALA,Barrios,POINT (-58.5101191642138 -34.6595395016822)
787,0.7000000000000001,-58.5097076830165,-34.6612102018936,R038,787.0,TAPALQUE@CARHUE,Barrios,POINT (-58.5097076830165 -34.6612102018936)
788,2.0,-58.5092978916452,-34.6628819552112,R038,788.0,"RODO, JOSE E.@GUAMINI",Barrios,POINT (-58.5092978916452 -34.6628819552112)
789,2.4000000000000004,-58.5086541380506,-34.664749081743,R038,789.0,DIRECTORIO@MONTIEL,Barrios,POINT (-58.5086541380506 -34.664749081743)
790,1.9000000000000001,-58.5079411753306,-34.6665174959909,R038,790.0,"TANDIL@SUAREZ, JOSE LEON",Barrios,POINT (-58.5079411753306 -34.6665174959909)
791,1.1,-58.500242240413,-34.6475001931395,R039,791.0,ARTIGAS MANUEL de@ALBARIÃƒÂO,Barrios,POINT (-58.500242240413 -34.6475001931395)
792,4.800000000000001,-58.4994501733273,-34.650642924333,R039,792.0,BRAGADO@POLA,Barrios,POINT (-58.4994501733273 -34.650642924333)
793,0.5,-58.4989978503193,-34.6522640233372,R039,793.0,TAPALQUE@FONROUGE,Barrios,POINT (-58.4989978503193 -34.6522640233372)
794,3.7,-58.4990193665988,-34.6543092884759,R039,794.0,"RODO, JOSE E.@LARRAZABAL",Barrios,POINT (-58.4990193665988 -34.6543092884759)
795,1.3,-58.4988111052005,-34.6557456604401,R039,795.0,CHASCOMUS@PIERES,Barrios,POINT (-58.4988111052005 -34.6557456604401)
796,3.6,-58.4989898391585,-34.6399414643284,R040,796.0,RAFAELA@MANZONI,Barrios,POINT (-58.4989898391585 -34.6399414643284)
797,3.1,-58.4977895805953,-34.6385156432102,R040,797.0,"FALCON, RAMON L.,CNEL.@LEOPARDI",Barrios,POINT (-58.4977895805953 -34.6385156432102)
798,1.4000000000000001,-58.497009406144,-34.6347594062196,R040,798.0,"BACACAY@CALDERON DE LA BARCA, PEDRO",Barrios,POINT (-58.497009406144 -34.6347594062196)
799,0.9,-58.4957758735651,-34.6333770259527,R040,799.0,SARACHAGA@CERVANTES,Barrios,POINT (-58.4957758735651 -34.6333770259527)
800,1.3,-58.4945336391461,-34.632081961761,R040,800.0,"ARANGUREN, JUAN F., Dr.@BERMUDEZ",Barrios,POINT (-58.4945336391461 -34.632081961761)
801,4.1000000000000005,-58.4864067645389,-34.6435600951558,R041,801.0,"RODO, JOSE E.@AMEGHINO, FLORENTINO, Dr.",Barrios,POINT (-58.4864067645389 -34.6435600951558)
802,0.4,-58.4860278873624,-34.6450074667278,R041,802.0,CHASCOMUS@MORETO,Barrios,POINT (-58.4860278873624 -34.6450074667278)
803,3.5,-58.486068810112,-34.6465960291603,R041,803.0,DIRECTORIO@MOZART,Barrios,POINT (-58.486068810112 -34.6465960291603)
804,1.9000000000000001,-58.486102363817,-34.648337836966,R041,804.0,TANDIL@WHITE,Barrios,POINT (-58.486102363817 -34.648337836966)
805,2.4000000000000004,-58.4861824151688,-34.6499627293105,R041,805.0,REMEDIOS@HOMERO,Barrios,POINT (-58.4861824151688 -34.6499627293105)
806,5.800000000000001,-58.4750453244676,-34.6336599085961,R042,806.0,"FALCON, RAMON L.,CNEL.@AZUL",Barrios,POINT (-58.4750453244676 -34.6336599085961)
807,0.9,-58.4757268864597,-34.6349172732084,R042,807.0,RAFAELA@DOLORES,Barrios,POINT (-58.4757268864597 -34.6349172732084)
808,6.2,-58.4759233775313,-34.637132958073,R042,808.0,"BONIFACIO, JOSE@BARADERO",Barrios,POINT (-58.4759233775313 -34.637132958073)
809,1.1,-58.4767783764748,-34.6383760000826,R042,809.0,"RODO, JOSE E.@ACOSTA, MARIANO",Barrios,POINT (-58.4767783764748 -34.6383760000826)
810,4.6000000000000005,-58.4769557344703,-34.6401111052412,R042,810.0,TANDIL@MARTINEZ CASTRO,Barrios,POINT (-58.4769557344703 -34.6401111052412)
811,2.8000000000000003,-58.4813660465759,-34.6312100096982,R043,811.0,BACACAY@BAHIA BLANCA,Barrios,POINT (-58.4813660465759 -34.6312100096982)
812,1.7000000000000002,-58.4804087074835,-34.6298633478044,R043,812.0,"BOGOTA@GONZALEZ, JOAQUIN V.",Barrios,POINT (-58.4804087074835 -34.6298633478044)
813,3.0,-58.4803694925463,-34.6273420715156,R043,813.0,"ARANGUREN, JUAN F., Dr.@SAN NICOLAS",Barrios,POINT (-58.4803694925463 -34.6273420715156)
814,3.0,-58.4797543715665,-34.6260704958167,R043,814.0,"MORON@LAMARCA, EMILIO",Barrios,POINT (-58.4797543715665 -34.6260704958167)
815,2.4000000000000004,-58.4791131126912,-34.6247894133846,R043,815.0,"VALLESE, FELIPE@CONCORDIA",Barrios,POINT (-58.4791131126912 -34.6247894133846)
816,3.3000000000000003,-58.4660752293373,-34.6283881988728,R044,816.0,YERBAL@BOLIVIA,Barrios,POINT (-58.4660752293373 -34.6283881988728)
817,6.5,-58.4651765224438,-34.6268285190666,R044,817.0,"BACACAY@ARTIGAS, JOSE GERVASIO DE,",Barrios,POINT (-58.4651765224438 -34.6268285190666)
818,4.800000000000001,-58.464191973464,-34.6252815808548,R044,818.0,BOGOTA@FRAY CAYETANO RODRIGUEZ,Barrios,POINT (-58.464191973464 -34.6252815808548)
819,5.300000000000001,-58.4627941905081,-34.6222124708607,R044,819.0,"ARANGUREN, JUAN F., Dr.@GAVILAN",Barrios,POINT (-58.4627941905081 -34.6222124708607)
820,1.5,-58.4622244403247,-34.620993272576,R044,820.0,MENDEZ DE ANDES@GRANADEROS,Barrios,POINT (-58.4622244403247 -34.620993272576)
821,0.2,-58.4582491878414,-34.6409571658224,R045,821.0,"RECUERO, CASIMIRO, Tte. Cnel.@ARROTEA",Barrios,POINT (-58.4582491878414 -34.6409571658224)
822,1.8,-58.457827097342,-34.6388009540229,R045,822.0,PRIMERA JUNTA@PEDERNERA,Barrios,POINT (-58.457827097342 -34.6388009540229)
823,1.9000000000000001,-58.4579734089423,-34.6371371039473,R045,823.0,"FERNANDEZ MORENO, BALDOMERO@RIVERA INDARTE",Barrios,POINT (-58.4579734089423 -34.6371371039473)
824,1.0,-58.457865552352,-34.6354196497822,R045,824.0,"LAFERRERE, GREGORIO de@MEMBRILLAR",Barrios,POINT (-58.457865552352 -34.6354196497822)
825,1.7000000000000002,-58.457233624842,-34.6335953381735,R045,825.0,"BILBAO, FRANCISCO@BONORINO, ESTEBAN, Cnel.",Barrios,POINT (-58.457233624842 -34.6335953381735)
826,7.800000000000001,-58.4763238051614,-34.6087222132433,R046,826.0,"SAN BLAS@ARTIGAS, JOSE GERVASIO DE,",Barrios,POINT (-58.4763238051614 -34.6087222132433)
827,4.4,-58.4768257851346,-34.6104145421495,R046,827.0,CAMARONES@BOLIVIA,Barrios,POINT (-58.4768257851346 -34.6104145421495)
828,2.4000000000000004,-58.4772596351689,-34.6120713829092,R046,828.0,"MAGARIÃƒÂOS CERVANTES, A.@CONDARCO",Barrios,POINT (-58.4772596351689 -34.6120713829092)
829,2.9000000000000004,-58.4777711956198,-34.6137696914077,R046,829.0,"DIAZ, CESAR, GRAL.@TERRADA",Barrios,POINT (-58.4777711956198 -34.6137696914077)
830,1.4000000000000001,-58.478711741672,-34.6171230015522,R046,830.0,"BELAUSTEGUI, LUIS, Dr.@ARGERICH",Barrios,POINT (-58.478711741672 -34.6171230015522)
831,3.7,-58.4651868529558,-34.6075747367897,R047,831.0,"DIAZ, CESAR, GRAL.@SANCHEZ",Barrios,POINT (-58.4651868529558 -34.6075747367897)
832,1.7000000000000002,-58.4651317281127,-34.6099411633149,R047,832.0,"BELAUSTEGUI, LUIS, Dr.@TERRERO",Barrios,POINT (-58.4651317281127 -34.6099411633149)
833,14.100000000000001,-58.4657447356858,-34.61169022775,R047,833.0,"TRES ARROYOS@LAMAS, ANDRES",Barrios,POINT (-58.4657447356858 -34.61169022775)
834,6.6000000000000005,-58.4662604896753,-34.6133943593586,R047,834.0,GALICIA@BOYACA,Barrios,POINT (-58.4662604896753 -34.6133943593586)
835,5.1000000000000005,-58.466633918759,-34.6150199702615,R047,835.0,"VIALE, LUIS@GAVILAN",Barrios,POINT (-58.466633918759 -34.6150199702615)
836,20.3,-58.4554423012637,-34.6064790828688,R048,836.0,TRES ARROYOS@ESPINOSA,Barrios,POINT (-58.4554423012637 -34.6064790828688)
837,5.6000000000000005,-58.4556703252637,-34.6083721242642,R048,837.0,GALICIA@PAYSANDU,Barrios,POINT (-58.4556703252637 -34.6083721242642)
838,6.4,-58.4563533432581,-34.6096943228001,R048,838.0,"VIALE, LUIS@FRAGATA Pres. SARMIENTO",Barrios,POINT (-58.4563533432581 -34.6096943228001)
839,1.6,-58.4567656680196,-34.6112135537995,R048,839.0,"FIGUEROA, APOLINARIO, Cnel.@OROÃƒÂO, NICASIO",Barrios,POINT (-58.4567656680196 -34.6112135537995)
840,9.200000000000001,-58.4573283324448,-34.6130368860465,R048,840.0,"GAONA@SEGUI, F. J., ALTE.",Barrios,POINT (-58.4573283324448 -34.6130368860465)
841,1.6,-58.4418817939992,-34.6105031640399,R049,841.0,"ARENGREEN@VIRASORO, VALENTIN",Barrios,POINT (-58.4418817939992 -34.6105031640399)
842,1.9000000000000001,-58.4432797586181,-34.6123029673246,R049,842.0,"VALLESE, FELIPE@COLPAYO",Barrios,POINT (-58.4432797586181 -34.6123029673246)
843,3.9000000000000004,-58.4441644019137,-34.6140371812551,R049,843.0,MENDEZ DE ANDES@ROJAS,Barrios,POINT (-58.4441644019137 -34.6140371812551)
844,4.5,-58.4452285966511,-34.6156242265314,R049,844.0,"ARANGUREN, JUAN F., Dr.@REPETTO, NICOLAS, DR.",Barrios,POINT (-58.4452285966511 -34.6156242265314)
845,5.0,-58.4465912565851,-34.6175544827717,R049,845.0,"AVELLANEDA@GAINZA, MARTIN DE, GRAL.",Barrios,POINT (-58.4465912565851 -34.6175544827717)
846,13.3,-58.4315425125549,-34.6187073830362,R050,846.0,ROSARIO@DOBLAS,Barrios,POINT (-58.4315425125549 -34.6187073830362)
847,3.4000000000000004,-58.4329853650342,-34.6200463107605,R050,847.0,GUAYAQUIL@VIEL,Barrios,POINT (-58.4329853650342 -34.6200463107605)
848,1.8,-58.4337897582278,-34.6211549230125,R050,848.0,FORMOSA@BEAUCHEF,Barrios,POINT (-58.4337897582278 -34.6211549230125)
849,9.1,-58.4346576327648,-34.6230470929648,R050,849.0,"ALBERDI, JUAN BAUTISTA@MORENO, JOSE MARIA",Barrios,POINT (-58.4346576327648 -34.6230470929648)
850,9.1,-58.4362266412392,-34.6245599603615,R050,850.0,VALLE@RIGLOS,Barrios,POINT (-58.4362266412392 -34.6245599603615)
851,0.7000000000000001,-58.4336593682248,-34.6315679218789,R051,851.0,ESTRADA@IGUALDAD,Barrios,POINT (-58.4336593682248 -34.6315679218789)
852,1.1,-58.4347788748643,-34.6324151129082,R051,852.0,RIGLOS@SALAS,Barrios,POINT (-58.4347788748643 -34.6324151129082)
853,2.5,-58.4354738358554,-34.6353643100009,R051,853.0,SANTANDER@PICHEUTA,Barrios,POINT (-58.4354738358554 -34.6353643100009)
854,1.2000000000000002,-58.4366527310238,-34.6367060903747,R051,854.0,"CACHIMAYO@DIAZ, AVELINO",Barrios,POINT (-58.4366527310238 -34.6367060903747)
855,1.2000000000000002,-58.4378162127119,-34.6381418723837,R051,855.0,BALBASTRO@MITRE EMILIO,Barrios,POINT (-58.4378162127119 -34.6381418723837)
856,29.0,-58.4205223768848,-34.6228284390011,R052,856.0,ESTADOS UNIDOS@CASTRO,Barrios,POINT (-58.4205223768848 -34.6228284390011)
857,5.800000000000001,-58.4218605464813,-34.6247807223359,R052,857.0,"CALVO, CARLOS@BOCAYUVA, QUINTINO",Barrios,POINT (-58.4218605464813 -34.6247807223359)
858,14.600000000000001,-58.4228421267991,-34.6264263845227,R052,858.0,SAN JUAN@TREINTA Y TRES ORIENTALES,Barrios,POINT (-58.4228421267991 -34.6264263845227)
859,2.5,-58.4238331841725,-34.627930135492,R052,859.0,"COCHABAMBA@MARMOL, JOSE",Barrios,POINT (-58.4238331841725 -34.627930135492)
860,1.0,-58.424789991611,-34.6302121515658,R052,860.0,TARIJA@MUÃƒÂIZ,Barrios,POINT (-58.424789991611 -34.6302121515658)
861,3.2,-58.4764733920931,-34.6763409362068,R053,861.0,SOMELLERA@MURGUIONDO,Barrios,POINT (-58.4764733920931 -34.6763409362068)
862,1.1,-58.4765645590653,-34.6775965921071,R053,862.0,"GALLO, DELFIN@LEGUIZAMON, MARTINIANO",Barrios,POINT (-58.4765645590653 -34.6775965921071)
863,0.30000000000000004,-58.4767274703516,-34.6796333856323,R053,863.0,"SAYOS@RUCCI, JOSE IGNACIO",Barrios,POINT (-58.4767274703516 -34.6796333856323)
864,0.30000000000000004,-58.4761710984827,-34.6810192579666,R053,864.0,"BATLLE Y ORDONEZ, JOSE P.T@HUDSON",Barrios,POINT (-58.4761710984827 -34.6810192579666)
865,1.2000000000000002,-58.475797278194,-34.6821378481965,R053,865.0,"DE LA TORRE, LISANDRO@UNANUE",Barrios,POINT (-58.475797278194 -34.6821378481965)
866,1.7000000000000002,-58.3712902873908,-34.6328140683474,R054,866.0,GUALEGUAY@RUY DIAZ DE GUZMAN,Barrios,POINT (-58.3712902873908 -34.6328140683474)
867,6.5,-58.3722868306286,-34.6338919588595,R054,867.0,ARZOBISPO ESPINOSA@AZARA,Barrios,POINT (-58.3722868306286 -34.6338919588595)
868,3.0,-58.3730844465313,-34.6349713854137,R054,868.0,"VILLAFAÃƒÂE, WENCESLAO@JOVELLANOS, GASPAR M. de",Barrios,POINT (-58.3730844465313 -34.6349713854137)
869,4.3,-58.3738671067088,-34.636112910154,R054,869.0,"VALLE, ARISTOBULO DEL@ISABEL LA CATOLICA",Barrios,POINT (-58.3738671067088 -34.636112910154)
870,3.5,-58.3762697974967,-34.6380108231769,R054,870.0,"BRANDSEN@HORNOS, Gral.",Barrios,POINT (-58.3762697974967 -34.6380108231769)
871,2.9000000000000004,-58.4139306611692,-34.5797304704091,R055,871.0,LAFINUR@CABELLO,Barrios,POINT (-58.4139306611692 -34.5797304704091)
872,3.8000000000000003,-58.4106369724763,-34.5783810260129,R055,872.0,"UGARTECHE@SEGUI, JUAN FRANCISCO",Barrios,POINT (-58.4106369724763 -34.5783810260129)
873,4.5,-58.4070505535635,-34.5771935486149,R055,873.0,CAVIA@CASTEX,Barrios,POINT (-58.4070505535635 -34.5771935486149)
874,13.200000000000001,-58.404872223837,-34.5765502554734,R055,874.0,"SALGUERO, JERONIMO@FIGUEROA ALCORTA, PRES.",Barrios,POINT (-58.404872223837 -34.5765502554734)
875,2.7,-58.4029283617528,-34.5766925641913,R055,875.0,"SAN MARTIN DE TOURS@CORONADO, MARTIN",Barrios,POINT (-58.4029283617528 -34.5766925641913)
876,22.1,-58.4405135996373,-34.602044508855,R056,876.0,ARAOZ@PADILLA,Barrios,POINT (-58.4405135996373 -34.602044508855)
877,6.0,-58.4439776819758,-34.6022731264074,R056,877.0,"VIALE, LUIS@ACOYTE",Barrios,POINT (-58.4439776819758 -34.6022731264074)
878,4.6000000000000005,-58.4456976524447,-34.6021031599399,R056,878.0,GALICIA@HIDALGO,Barrios,POINT (-58.4456976524447 -34.6021031599399)
879,16.8,-58.4476452341248,-34.6016869914762,R056,879.0,TRES ARROYOS@OLAYA,Barrios,POINT (-58.4476452341248 -34.6016869914762)
880,1.6,-58.4496642669401,-34.6011900225256,R056,880.0,"BELAUSTEGUI, LUIS, Dr.@VIRASORO, VALENTIN",Barrios,POINT (-58.4496642669401 -34.6011900225256)
